"Book_id";"COURSE_CODE";"COURSE_NAME";"BOOK_NAME";"ISBN";"AUTHOR";"NEW_PRICE";"USED_PRICE";"RENT_PRICE";"E_TEXTBOOK_PRICE";"b_img"
40;"MET 528";"Lean Manufactuing";"How To Implement Lean Manufacturing";"978-0071625074";"Lonnie Wilson";65.21;47.32;37.32;62.21;""
41;"MET 548";"Computer Intergrated Manufacturing";"Computer Integrated Manufacturing ";"978-0131134133";"James A. Rehg , Henry W. Kraebber";105.32;77.32;52.21;97.32;""
42;"MET 600";"Manufacturing Research Methods";"Research Methods for Operations Management ";"978-1138945425";"Christer Karlsson";59.32;38.32;25.32;50.43;""
43;"MET 625 ";"Advanced Project Management";"Advanced Project Management";"978-0471472841";"Harold Kerzner";80.42;45.43;37.32;72.21;""
44;"MET 627";"Six Sigma from an Industrial Perspective";"Power of Six Sigma";"978-0793144341";"Subir Chowdhury";20.32;15.21;12.21;17.21;""
45;"MET 628";"Advanced Quality Tools";"Quality Improvement Tools & Techniques";"978-0070412194";"Peter Mears";35.43;27.32;22.21;32.21;""
46;"MET 645";"CAD Applications";"Engineering Drawing with CAD Applications ";"978-0415502900";"O. Ostrowsky";50.32;35.43;30.23;43.32;""
47;"MET 654";"Design of Experiments";"Design and Analysis of Experiments";"978-1118146927";"Douglas C. Montgomery ";94.32;72.21;55.21;85.43;""
48;"MET 678";"Manufacturing Processes";"Manufacturing Processes for Design Professionals";"978-0500513750";"Rob Thompson";77.21;57.43;36.32;69.34;""
49;"MET 679 ";"Advanced Manufacturing Automation";"Advanced Manufacturing and Automation V";"978-1784661694";"Yi Wang ";379.32;200.21;176.21;358.21;""
50;"EE 550";"Engineering Economics";"Engineering Economics";"978-0079122483";"James L. Riggs, David D. Bedworth, Sabah U. Randhawa";35.32;20.32;18.21;32.32;""
51;"EE 553";"Advanced Communication Systems Engineering";"Communication Systems Engineering";"978-0130617934";"John G. Proakis, Masoud Salehi ";249.42;215.21;156.32;225.21;""
52;"EE 562";"Advanced Digital Systems";"Advanced Digital Systems Experiments and Concepts With CPLDs";"978-1401866365";"Leo Chartrand";184.32;125.43;118.21;175.43;""
53;"EE 570";"Wireless Networking";" Certified Wireless Network Administrator Official Study Guide";"978-1118893708";"David D. Coleman, David A. Westcott";39.32;28.21;22.21;34.32;""
54;"EE 571";"Advanced Control Systems";"Advanced Control Systems";"978-8120347106";"B. N. Sarkar";30.32;25.21;18.21;28.32;""
55;"EE 600";"Design Methods";"Design Methods";"978-0471284963";"John Chris Jones ";85.32;78.32;57.31;79.32;""
56;"EE 601 ";"Linear Systems Analysis";"Linear Systems Analysis";"978-0470203545";"A. N. Tripathi";22.21;15.21;12.12;18.21;""
57;"EE 603 ";"Non-Linear System Analysis";"Nonlinear Systems Analysis";"978-0898715262";"M. Vidyasagar";70.21;65.21;54.32;68.21;""
58;"EE 612";"Computer Architecture Design";"Computer Architecture";"978-0123838728";"John L. Hennessy, David A. Patterson ";73.21;55.21;42.21;66.21;""
59;"EE 614";"Advanced Embedded System Design";"Embedded System Design";"978-0471386780";"Frank Vahid, Tony D. Givargis";190.21;178.32;145.32;188.21;""
60;"EE 620";"Advanced Embedded Networking";"Embedded Ethernet and Internet Complete";"978-1931448000";"Jan Axelson ";48.21;37.21;27.31;38.21;""
61;"EE 622 ";"Microwave Engineering";"Microwave Engineering";"978-0470631553";"David M. Pozar";198.21;155.21;136.42;189.54;""
62;"EE 633";"Digital Communications";"Digital Communications";"978-0072957167";"John Proakis, Masoud Salehi";280.21;183.21;155.21;178.21;""
63;"EE 642";"Advanced Integrated Circuit Engineering";"Integrated Circuit Engineering";"978-0201074277";"Arthur B. Glaser, Gerald E. Subak-Sharpe";30.32;22.21;18.21;27.21;""
64;"EE 623";" Radiation & Optical Electronics";"Optical Electronics in Modern Communications";"978-0195179460";"Amnon Yariv, Pochi Yeh";198.21;156.21;28.21;188.21;""
